Id,Birth date,Confession,Health status,Martial status,Child age,Child gender,Invalid child,Reports,Photo rights,Статус,Created at,Russian citizenship,Education
576,18 марта 1992,Православие ,хорошо,Не женат (не замужем),14,Не имеет значения,TRUE,TRUE,FALSE,new,"июля 06, 2017 21:38",TRUE,"Университет, Институт, техникум"
577,12 декабря 1989,Атеизм,хорошо,Гражданский брак,12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 07, 2017 07:27",TRUE,"Университет, Институт, техникум"
578,19 июня 1995,Атеизм,хорошо,Не женат (не замужем),14,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 07, 2017 08:15",TRUE,"Университет, Институт, техникум"
579,14 ноября 1991,христианское,отлично,Гражданский брак,12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 07, 2017 17:06",TRUE,"Университет, Институт, техникум"
580,3 февраля 1987,Христинское,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 07, 2017 19:21",TRUE,"Университет, Институт, техникум"
581,18 марта 1987,Православие,отлично,Не женат (не замужем),14,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 07, 2017 20:07",TRUE,"Университет, Институт, техникум"
582,7 сентября 1990,Православие,отлично,Женат (замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 08, 2017 20:23",TRUE,"Дополнительные курсы, тренинги, семинары,Дополнительные курсы, тренинги, семинары,Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум,Университет, Институт, техникум"
583,8 июня 1991,Буддизм,отлично,Не женат (не замужем),15,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 09, 2017 08:35",TRUE,"Университет, Институт, техникум"
584,5 марта 1985,религия далека от веры,хорошо,Женат (замужем),14,Не имеет значения,FALSE,TRUE,FALSE,new,"июля 09, 2017 11:38",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
585,14 сентября 1983,Православие,хорошо,Разведён (разведена),12,Мужской,FALSE,TRUE,TRUE,new,"июля 10, 2017 07:06",TRUE,"Университет, Институт, техникум"
586,24 ноября 1989,Православие,отлично,Женат (замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 10, 2017 07:25",TRUE,Общеобразовательная школа
587,29 августа 1964,Православие,хорошо,Разведён (разведена),12,Не имеет значения,FALSE,TRUE,TRUE,approved,"июля 10, 2017 10:30",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
588,21 июля 2017,Атеизм,отлично,Гражданский брак,14,Мужской,TRUE,TRUE,FALSE,new,"июля 10, 2017 12:49",TRUE,"Университет, Институт, техникум"
589,27 мая 1978,Православная,отлично,Женат (замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 10, 2017 18:01",TRUE,"Университет, Институт, техникум"
590,26 сентября 1988,Атеизм,отлично,Женат (замужем),13,Мужской,TRUE,TRUE,TRUE,new,"июля 11, 2017 12:16",TRUE,"Университет, Институт, техникум"
591,19 декабря 1984,Православие,хорошо,Разведён (разведена),12,Женский,TRUE,TRUE,TRUE,new,"июля 11, 2017 17:10",TRUE,"Университет, Институт, техникум"
592,27 сентября 1992,Православие,отлично,Не женат (не замужем),13,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 11, 2017 17:44",TRUE," - ,Университет, Институт, техникум"
593,13 июня 1989,"Православная , жила 3 года в мусульманской стране - Казахстане и Стамбуле, много знаю об исламе",отлично,Не женат (не замужем),16,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 12, 2017 04:19",TRUE,"Дополнительные курсы, тренинги, семинары,Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
594,23 апреля 1986,Православие,хорошо,Не женат (не замужем),15,Мужской,TRUE,TRUE,FALSE,new,"июля 12, 2017 06:26",TRUE,"Университет, Институт, техникум"
595,13 августа 1990,Православие,хорошо,Женат (замужем),15,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 12, 2017 11:16",TRUE,"Дополнительные курсы, тренинги, семинары"
596,28 февраля 1987,Православие,хорошо,Вдовец (вдова),12,Женский,FALSE,TRUE,TRUE,new,"июля 12, 2017 18:38",TRUE,"Университет, Институт, техникум"
597,29 марта 1977,Православие,отлично,Женат (замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 13, 2017 10:13",TRUE,"Университет, Институт, техникум"
598,3 марта 1990,православная,хорошо,Не женат (не замужем),13,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 13, 2017 10:30",TRUE,"Университет, Институт, техникум"
599,16 ноября 1989,Православие,хорошо,Женат (замужем),15,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 13, 2017 14:51",TRUE,"Университет, Институт, техникум"
600,11 августа 1986,Христианство,отлично,Разведён (разведена),14,Женский,FALSE,TRUE,TRUE,new,"июля 13, 2017 16:58",TRUE,"Университет, Институт, техникум"
601,10 декабря 1986,Православие,хорошо,Разведён (разведена),12,Женский,FALSE,TRUE,TRUE,new,"июля 13, 2017 18:29",TRUE,"Университет, Институт, техникум"
602,14 июля 2017,Православие,хорошо,Не женат (не замужем),18,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 14, 2017 02:25",TRUE,"Университет, Институт, техникум"
603,15 февраля 1991,Христианство,отлично,Женат (замужем),15,Женский,TRUE,TRUE,TRUE,new,"июля 14, 2017 10:58",TRUE,"Университет, Институт, техникум"
604,15 марта 1982,Православие,отлично,Женат (замужем),12,Женский,TRUE,TRUE,FALSE,new,"июля 14, 2017 12:39",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
605,10 марта 1970,Православие,хорошо,Женат (замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 14, 2017 16:00",TRUE,"Университет, Институт, техникум"
606,3 августа 1987,Христианство ,отлично,Женат (замужем),14,Женский,FALSE,TRUE,TRUE,new,"июля 14, 2017 19:01",TRUE,"Университет, Институт, техникум"
607,20 ноября 1990,Православие ,хорошо,Женат (замужем),12,Мужской,FALSE,TRUE,TRUE,new,"июля 15, 2017 13:35",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
608,20 ноября 1990,Православие ,хорошо,Женат (замужем),12,Мужской,FALSE,TRUE,TRUE,new,"июля 15, 2017 13:36",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
609,20 ноября 1990,Православие ,хорошо,Женат (замужем),12,Мужской,FALSE,TRUE,TRUE,new,"июля 15, 2017 13:40",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
610,20 ноября 1990,Православие ,хорошо,Женат (замужем),12,Мужской,FALSE,TRUE,TRUE,new,"июля 15, 2017 13:42",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
611,7 сентября 1984,Православие,отлично,Разведён (разведена),13,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 15, 2017 17:26",TRUE,"Университет, Институт, техникум"
612,7 августа 1990,Православие,хорошо,Не женат (не замужем),15,Не имеет значения,FALSE,TRUE,TRUE,new,"июля 16, 2017 04:38",TRUE,"Университет, Институт, техникум"
613,5 августа 1988,Православие,хорошо,Разведён (разведена),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 16, 2017 07:10",TRUE,"Университет, Институт, техникум"
614,11 апреля 1990,Православие,отлично,Разведён (разведена),12,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 16, 2017 10:42",TRUE,"Университет, Институт, техникум"
615,20 апреля 1990,Христианство,отлично,Женат (замужем),0.111111111,Не имеет значения,TRUE,TRUE,TRUE,new,"июля 16, 2017 14:30",TRUE,"Университет, Институт, техникум"
